name                              | abbrev | utc_offset | is_dst
----------------------------------+--------+------------+--------
 Indian/Mauritius                 | +04    | 04:00:00   | f
 Indian/Chagos                    | +06    | 06:00:00   | f
 Indian/Mayotte                   | EAT    | 03:00:00   | f
 Indian/Christmas                 | +07    | 07:00:00   | f
 Indian/Cocos                     | +0630  | 06:30:00   | f
 Indian/Maldives                  | +05    | 05:00:00   | f
 Indian/Comoro                    | EAT    | 03:00:00   | f
 Indian/Reunion                   | +04    | 04:00:00   | f
 Indian/Mahe                      | +04    | 04:00:00   | f
 Indian/Kerguelen                 | +05    | 05:00:00   | f
 Indian/Antananarivo              | EAT    | 03:00:00   | f
 Atlantic/Faroe                   | WET    | 00:00:00   | f
 Atlantic/Canary                  | WET    | 00:00:00   | f
 Atlantic/Stanley                 | -03    | -03:00:00  | f
 Atlantic/Bermuda                 | ADT    | -03:00:00  | t
 Atlantic/South_Georgia           | -02    | -02:00:00  | f
 Atlantic/St_Helena               | GMT    | 00:00:00   | f
 Atlantic/Jan_Mayen               | CET    | 01:00:00   | f
 Atlantic/Faeroe                  | WET    | 00:00:00   | f
 Atlantic/Reykjavik               | GMT    | 00:00:00   | f
 Atlantic/Cape_Verde              | -01    | -01:00:00  | f
 Atlantic/Azores                  | -01    | -01:00:00  | f
 Atlantic/Madeira                 | WET    | 00:00:00   | f
 CST6CDT                          | CDT    | -05:00:00  | t
 Poland                           | CET    | 01:00:00   | f
 US/Alaska                        | AKDT   | -08:00:00  | t
 US/Pacific                       | PDT    | -07:00:00  | t
 US/Eastern                       | EDT    | -04:00:00  | t
 US/Michigan                      | EDT    | -04:00:00  | t
 US/Arizona                       | MST    | -07:00:00  | f
 US/Indiana-Starke                | CDT    | -05:00:00  | t
 US/Aleutian                      | HDT    | -09:00:00  | t
 US/Hawaii                        | HST    | -10:00:00  | f
 US/East-Indiana                  | EDT    | -04:00:00  | t
 US/Central                       | CDT    | -05:00:00  | t
 US/Mountain                      | MDT    | -06:00:00  | t
 US/Samoa                         | SST    | -11:00:00  | f
 Kwajalein                        | +12    | 12:00:00   | f
 Brazil/DeNoronha                 | -02    | -02:00:00  | f
 Brazil/Acre                      | -05    | -05:00:00  | f
 Brazil/East                      | -03    | -03:00:00  | f
 Brazil/West                      | -04    | -04:00:00  | f
 Pacific/Port_Moresby             | +10    | 10:00:00   | f
 Pacific/Chuuk                    | +10    | 10:00:00   | f
 Pacific/Easter                   | -05    | -05:00:00  | t
 Pacific/Kwajalein                | +12    | 12:00:00   | f
 Pacific/Tongatapu                | +13    | 13:00:00   | f
 Pacific/Yap                      | +10    | 10:00:00   | f
 Pacific/Wallis                   | +12    | 12:00:00   | f
 Pacific/Apia                     | +14    | 14:00:00   | t
 Pacific/Norfolk                  | +12    | 12:00:00   | t
 Pacific/Efate                    | +11    | 11:00:00   | f
 Pacific/Fiji                     | +12    | 12:00:00   | f
 Pacific/Funafuti                 | +12    | 12:00:00   | f
 Pacific/Palau                    | +09    | 09:00:00   | f
 Pacific/Guam                     | ChST   | 10:00:00   | f
 Pacific/Saipan                   | ChST   | 10:00:00   | f
 Pacific/Kosrae                   | +11    | 11:00:00   | f
 Pacific/Niue                     | -11    | -11:00:00  | f
 Pacific/Ponape                   | +11    | 11:00:00   | f
 Pacific/Wake                     | +12    | 12:00:00   | f
 Pacific/Galapagos                | -06    | -06:00:00  | f
 Pacific/Johnston                 | HST    | -10:00:00  | f
 Pacific/Midway                   | SST    | -11:00:00  | f
 Pacific/Nauru                    | +12    | 12:00:00   | f
 Pacific/Guadalcanal              | +11    | 11:00:00   | f
 Pacific/Chatham                  | +1345  | 13:45:00   | t
 Pacific/Auckland                 | NZDT   | 13:00:00   | t
 Pacific/Noumea                   | +11    | 11:00:00   | f
 Pacific/Fakaofo                  | +13    | 13:00:00   | f
 Pacific/Tahiti                   | -10    | -10:00:00  | f
 Pacific/Gambier                  | -09    | -09:00:00  | f
 Pacific/Majuro                   | +12    | 12:00:00   | f
 Pacific/Honolulu                 | HST    | -10:00:00  | f
 Pacific/Pohnpei                  | +11    | 11:00:00   | f
 Pacific/Pago_Pago                | SST    | -11:00:00  | f
 Pacific/Truk                     | +10    | 10:00:00   | f
 Pacific/Pitcairn                 | -08    | -08:00:00  | f
 Pacific/Marquesas                | -0930  | -09:30:00  | f
 Pacific/Bougainville             | +11    | 11:00:00   | f
 Pacific/Tarawa                   | +12    | 12:00:00   | f
 Pacific/Rarotonga                | -10    | -10:00:00  | f
 Pacific/Samoa                    | SST    | -11:00:00  | f
 Pacific/Kiritimati               | +14    | 14:00:00   | f
 Pacific/Enderbury                | +13    | 13:00:00   | f
 MST                              | MST    | -07:00:00  | f
 NZ                               | NZDT   | 13:00:00   | t
 Arctic/Longyearbyen              | CET    | 01:00:00   | f
 Universal                        | UTC    | 00:00:00   | f
